#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=129 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:134 out:134 type:B dur:2 cpbdur:2 q:44.49 aq:37.67 tex:162 mv:864 misc:870 imb:3 pmb:91 smb:8066 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:44.52 aq:30.00 tex:12 mv:226 misc:514 imb:2 pmb:23 smb:8135 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:44.46 aq:39.27 tex:45 mv:158 misc:493 imb:1 pmb:17 smb:8142 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:44.33 aq:34.75 tex:4891 mv:4032 misc:2333 imb:206 pmb:332 smb:7622 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:44.38 aq:34.88 tex:192 mv:778 misc:846 imb:4 pmb:85 smb:8071 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:44.41 aq:42.89 tex:45 mv:150 misc:501 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:44.36 aq:29.00 tex:2 mv:93 misc:457 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:44.24 aq:34.72 tex:5312 mv:4144 misc:2368 imb:232 pmb:346 smb:7582 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:44.29 aq:34.95 tex:249 mv:1062 misc:961 imb:6 pmb:109 smb:8045 d:- ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:44.31 aq:29.00 tex:14 mv:150 misc:492 imb:0 pmb:18 smb:8142 d:- ref:0 ;
